Zakres usługi,Priorytet,Opis warunku prawidłowego
,,
Konfiguracja GTM,,
Walidacja,Wysoki,"GTM jest zaimplementowany w sposób prawidłowy, znajduje się u góry strony. Kod nie budzi zastrzeżeń."
Powiadomienia i błędy,Wysoki,W GTM nie mamy komunikatów o błędach
Ustawienia consent tagów,Wysoki,Każdy z tagów ma ustawiony tryb zgody. Nie ma żadnego tagu bez ustawionej zgody.
Tag łączący konwersje,Wysoki,Na koncie włączono tag łączący konwersję
Podsumowanie zasięgu tagu,Wysoki,Wszystkie strony w tym raporcie są otagowane
Publikowane wersje posiadają tytuły,niski,Osoby publikujące kontenery nadają nazwy wersjom
Na koncie nie ma UA,Wysoki,W GA4 nie ma przestarzałych kodów UA i innych przestażałych rozwiązań.
GA4 wywoływane z tagu,niski,GA4 jest wdrożone w tagu w GTM
,,
GTM server side,,
Wdrożenie GTM server side,Wysoki,Usługa została poprawnie włączona i skonfigurowana
Utworzenie kontenera,Wysoki,Poprawnie utworzono kontener
Utworzenie GCP,Wysoki,Utworzono GCP
Dodanie płatnika i karty,Wysoki,Poprawnie skonfigurowano płatność
Połączenie klienta URL GA na client side,Wysoki,Skonfigurowano połączenie między GTM
Dodanie custom domain (GCP),Wysoki,Dodano domenę 1st party
Walidacja klienta,Wysoki,Konfiguracja przeszła pomyślną walidację
Dodanie DNS AAAA,Wysoki,DNS został skonfigurowany
Dodanie DNS A,Wysoki,DNS został skonfigurowany
Zmieniony URL kontenera serwera,średni,URL został skonfigurowany
Ustawiony transport URL,Wysoki,URL został skonfigurowany
Flexible plan,średni,Włączono flexible plan
,,
Konfiguracja GA4,,
Ustawienia konta i administracji,,
Alerty i powiadomienia,Wysoki,Google Analytics nie informuje o żadnych błędach
Ustawiono Moje preferencje,niski,"Włączono rekomendacje, pomoc techniczną, modelowanie danych"
Ustawiono Ustawienia udostępniania danych,niski,Usługi są poprawnie skonfigurowane
Zweryfikowano uprawnienia do konta,Wysoki,Dostępy do konta nie budzą zastrzeżeń
Zweryfikowano historię zmian na koncie,niski,Historia zmian nie budzi zastrzeżeń
Zweryfikowano kosz,niski,Kosz nie budzi zastrzeżeń
,,
Ustawienia Usługi,,
"Ustawienia usługi, domeny i języka",niski,Usługi są poprawnie skonfigurowane i nie budżą zastrzeżeń
Ustawienia waluty,średni,Ustawiono poprawną walutę na usługę
Historia zmian usługi,średni,Historia zmian nie budzi zastrzeżeń
,,
Zbieranie i modyfikowanie danych,,
Włączone signals,Wysoki,Na koncie jest włączone Google Signals
Włączono funkcję user_id i dane użytkownika,średni,Na koncie włączono Funkcja User-ID a zbieranie danych przekazywanych przez użytkowników
Włączono Zbieranie szczegółowych danych o lokalizacji ,średni,Na koncie jest włączona funkcja Zbieranie szczegółowych danych o lokalizacji i urządzeniu
"Potwierdzenie dotyczące zbierania danych użytkownika",niski,Włączono Potwierdzenie dotyczące zbierania danych użytkownika
Import danych,średni,Na koncie importowano dane
Przechowywanie danych o zdarzeniach ,niski,Dane o zdarzeniach są ustawione na maksymalny czas
Włączono resetowanie danych,średni,Na koncie jest włączone resetowanie danych
Ustawienia filtrowania,Wysoki,Na koncie jest ustawione filtrowanie ruchu wewnętrznego i dewelopera
Prośby o usunięcie danych,niski,Nie zauważyliśmy nieprawidłowości
,,
Strumienie danych,,
Strumień danych Web,Wysoki,Strumień danych jest poprawnie wdrożony
Strumień danych iOS,Wysoki,Strumień danych jest poprawnie wdrożony
Strumień danych Android,Wysoki,Strumień danych jest poprawnie wdrożony
URL strumienia danych,niski,URL strumienia jest prawidłowy
Nazwa strumienia danych,niski,Nazwa jest prawidłowa i nie budzi zastrzeżeń
"Ustawienia dotyczące wyrażania zgody",Wysoki,Ustawienia dotyczące wyrażania zgody nie zawierają błędów i powiadomień
Parametr zapytania dla wyszukiwanego hasła,niski,Jest zdefiniowany
Modyfikacja zdarzeń,niski,Na koncie modyfikowano zdarzenia
